time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
231424,113,438.32,828,68.68228180999999,279,0.008346034,-0.0017906594497617335,237.6686248779297,0.07177734375,1120,157.73200488835573,0.6017999351024628,0.0003,0.2,-0.6876132193952799
233472,114,437.83,829,71.01879003,281,0.008347527,-0.0013379008712945506,5.798977375030518,0.09423828125,1130,85.4167383402586,0.8780205100774765,0.0003,0.2,-0.6314702643081546
235520,115,431.62,831,71.05675385,283,0.0049943104,-0.003971164461836452,400.54864501953125,0.056396484375,1140,100.08124879896641,0.786476731300354,0.0003,0.2,-0.5650850083678961
237568,116,434.83,832,70.03511133,285,0.0049398295,-0.0022937851448659786,13.842325210571289,0.084912109375,1150,129.3811584889889,0.45645320415496826,0.0003,0.2,-0.6883284838870167
239616,117,424.06,833,73.33878688,287,0.011362622,-0.003390253156248946,14.817462921142578,0.094189453125,1160,80.83663506209851,0.8841025531291962,0.0003,0.2,-0.6932086048647761
241664,118,419.53,835,76.13204078,289,0.0054338262,-0.0023037262879370248,8.210236549377441,0.044921875,1170,120.20196069777012,0.5931674242019653,0.0003,0.2,-0.6685165658593177
243712,119,410.57,836,77.85203643999999,291,0.0045984993,-0.000968378791003488,295.80126953125,0.057373046875,1180,134.3400272205472,0.6737615168094635,0.0003,0.2,-0.6493879230692983
245760,120,408.36,837,77.55125168999999,293,0.0050380323,-0.0008161580059095286,11.015035629272461,0.03779296875,1190,222.78144512474537,0.5432254076004028,0.0003,0.2,-0.7134976020082832
247808,121,398.58,838,80.70935737999999,295,0.0025672065,-0.002566594790914678,450.79217529296875,0.0095703125,1200,340.8377752631903,0.4203907251358032,0.0003,0.2,-0.6628918677568436
249856,122,386.4,840,74.55526158999999,297,0.0053733503,-0.0016169030735909474,20.063892364501953,0.05517578125,1210,123.96591636687518,0.6450997889041901,0.0003,0.2,-0.6851787313818931
251904,123,379.61,841,73.11291113,299,0.0034674385,-0.002186638235434657,96.36308288574219,0.015576171875,1220,326.8837784320116,0.46022868156433105,0.0003,0.2,-0.7283662183210253
2048,1,299.0,1564,-12.51166666666667,1,0.004630436,-0.005693355883704498,368.3694763183594,0.038818359375,1230,214.93263597488402,0.5230768918991089,0.0003,0.2,-0.6287035619840026
4096,2,312.0,1267,8.67307692307692,3,0.0052847425,-0.0024519055506971197,28.071338653564453,0.0587890625,1240,158.62311612963677,0.6155759394168854,0.0003,0.2,-0.6611004097387194
6144,3,307.2105263157895,1179,2.1584210526315735,5,0.005827952,-0.003581976662098896,25.290603637695312,0.026123046875,1250,100.56222662031651,0.6697148382663727,0.0003,0.2,-0.6130564199760556
8192,4,319.12,1154,6.741999999999998,7,0.005507484,-0.002362091656686971,86.47911834716797,0.0755859375,1260,82.53739114105701,0.7907533496618271,0.0003,0.2,-0.7160816473886371
10240,5,365.67857142857144,1094,4.572499999999999,9,0.007354269,-0.0038002257024345454,89.5928726196289,0.062939453125,1270,81.2165415674448,0.7390688061714172,0.0003,0.2,-0.5984231856651604
12288,6,353.44117647058823,1095,8.501470588235293,11,0.011427443,-0.0009372379288834054,1.3351342678070068,0.164013671875,1280,13.364406678453088,0.7417919337749481,0.0003,0.2,-0.5918193528428674
14336,7,356.1,1073,3.81325,13,0.0046791704,-0.0023899020845419726,29.34853744506836,0.024169921875,1290,140.69142827391624,0.5107418298721313,0.0003,0.2,-0.5598037629388273
16384,8,346.63829787234044,1072,7.681914893617021,15,0.0028929836,-0.0010206644805293764,46.347084045410156,0.018115234375,1300,135.9184998959303,0.5032833516597748,0.0003,0.2,-0.6327171579003334
18432,9,342.4339622641509,1077,5.122452830188679,17,0.0024077308,-0.002974994223404792,21.12946319580078,0.03154296875,1310,76.73600692003966,0.8461165726184845,0.0003,0.2,-0.5873743083328009
20480,10,348.2241379310345,1065,4.312413793103447,19,0.006550591,-0.003469655134176719,120.02789306640625,0.1015625,1320,81.08852170854807,0.8712226897478104,0.0003,0.2,-0.6952325157821179
22528,11,353.4761904761905,1058,3.269047619047618,21,0.005422723,0.0013695053232368082,8.489921569824219,0.056005859375,1330,52.73219315111637,0.8976613283157349,0.0003,0.2,-0.653920591622591
24576,12,360.0882352941176,1048,5.2505882352941144,23,0.017799964,-0.0011255651927058353,159.79685974121094,0.080224609375,1340,78.69216180667281,0.8641373366117477,0.0003,0.2,-0.6266979642212391
26624,13,352.8,1048,4.704933333333332,25,0.00569157,0.00040541815396863965,4.4894232749938965,0.0693359375,1350,17.254560686647892,0.9344930350780487,0.0003,0.2,-0.6539942109957337
