time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
91,-15.53324271,734.22,507,186368,367,-1.8982297632843257,0.0003,900,0.6254228353500366,0.2,44.87302780151367,78.61170180663467,0.093408203125,-0.0022676693435641935,0.006814078,0.6421167552471161
92,-12.105047449999999,726.57,508,188416,370,-1.8971370372921228,0.0003,910,0.6284674406051636,0.2,9.392223358154297,117.9759246468544,0.053173828125,-0.00518501422193367,0.0059018573,0.786953940987587
93,-15.00557186,729.13,507,190464,375,-1.8946937393397092,0.0003,920,0.6236500144004822,0.2,32.038795471191406,125.94715380966663,0.06884765625,-0.00565808200990432,0.0060725315,0.6214654743671417
94,-12.612189390000001,725.77,506,192512,379,-1.8889760605990886,0.0003,930,0.6239638328552246,0.2,3.3125109672546387,106.1166854441166,0.0916015625,-0.00453810195394908,0.0133425165,0.7487678229808807
95,-13.347350940000004,717.44,506,194560,383,-1.8686670389026403,0.0003,940,0.6093799471855164,0.2,1.7839503288269043,47.080056484043595,0.0640625,-0.0005719343636883423,0.008238026,0.6876888275146484
96,-16.486308540000003,701.01,507,196608,387,-1.8314478158950807,0.0003,950,0.6047707200050354,0.2,7.118712425231934,70.67576845735312,0.0763671875,-0.0063531261577736585,0.0071891407,0.8229048848152161
97,-19.41810874,695.0,507,198656,391,-1.8201668996363878,0.0003,960,0.6024240255355835,0.2,34.47150421142578,143.64105722755193,0.09033203125,-0.0014294542859715875,0.010353556,0.7626267075538635
98,-20.1862764,700.95,506,200704,395,-1.8206153023988008,0.0003,970,0.6055399775505066,0.2,39.78350830078125,79.84655386060476,0.0859375,-0.006769956146308686,0.010134762,0.6755054891109467
99,-21.910775240000003,693.46,506,202752,399,-1.8435309626162053,0.0003,980,0.6130810976028442,0.2,5.565127849578857,21.416408453509213,0.11416015625,0.000376962247537449,0.011297674,0.9072333574295044
100,-21.401026610000002,696.19,506,204800,404,-1.8558384142816067,0.0003,990,0.6136851906776428,0.2,3.036252975463867,93.83030340671539,0.051220703125,-0.001970883794274414,0.006038922,0.7731974124908447
