time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
206848,752.24,-5.530932780000005,101,282,731,0.015544075,0.6960788369178772,0.0003,1000,-0.764334999397397,-0.004247030350234127,0.2,0.07451171875,202.67001152038574,17.59281349182129
208896,752.24,-3.999785800000006,102,285,731,0.00581102,0.7617236077785492,0.0003,1010,-0.8483848683536053,-0.0035982791414426174,0.2,0.0880859375,93.28044305592775,26.734834671020508
210944,762.01,-3.163815900000001,103,288,730,0.025801126,0.9010934382677078,0.0003,1020,-0.9138822417706252,-0.008401600846264045,0.2,0.1677734375,47.30052438788116,1.3529921770095825
212992,767.81,-3.107451640000002,104,291,729,0.0060623595,0.7301474809646606,0.0003,1030,-0.8301393954083324,-0.0008171444031177088,0.2,0.031591796875,91.31394710261375,12.766044616699219
215040,764.95,-3.075439240000002,105,294,729,0.016952604,0.880363292992115,0.0003,1040,-0.9069216806441546,-0.00441500512388302,0.2,0.161865234375,39.92711433954537,2.6232235431671143
217088,759.9,-0.40611162000000095,106,297,729,0.0022228204,0.7093350291252136,0.0003,1050,-0.8952636508271098,-0.0010307804943295196,0.2,0.0103515625,160.15765423476697,83.19086456298828
219136,741.9,-0.5299792500000018,107,300,728,0.003427634,0.7280044853687286,0.0003,1060,-0.8321751702576876,-0.0006009328593790997,0.2,0.028271484375,101.46603511869907,23.974889755249023
221184,744.29,5.232500799999998,108,303,728,0.010033239,0.751383364200592,0.0003,1070,-0.8507619645446539,-0.002215943922237784,0.2,0.114697265625,144.3237244874239,72.12498474121094
223232,739.65,2.3368546199999973,109,306,727,0.0085470695,0.6820859909057617,0.0003,1080,-0.8218822462484241,-0.0023089603822882055,0.2,0.066259765625,101.11495095938444,53.82158279418945
225280,742.11,0.055843799999996654,110,310,726,0.004799048,0.6032490730285645,0.0003,1090,-0.8889213813468814,-0.004045721378497546,0.2,0.075,93.26983743868769,14.197443008422852
227328,744.6,2.680929620000002,111,312,726,0.008196674,0.8008421212434769,0.0003,1100,-0.852419800311327,-0.0016237732463196153,0.2,0.039111328125,72.809182164073,2.4072141647338867
229376,728.77,-1.251918239999999,112,315,727,0.0041275565,0.7275230884552002,0.0003,1110,-0.853322659432888,-0.0015228178262987058,0.2,0.107568359375,100.83148302733898,14.33694076538086
231424,728.11,-5.566389469999997,113,318,727,0.0066928333,0.7982179820537567,0.0003,1120,-0.9203321134671569,-0.0021804797910590424,0.2,0.023876953125,133.10909630805253,12.412899017333984
233472,728.61,-0.9311226799999988,114,320,727,0.015191365,0.7900899201631546,0.0003,1130,-0.9509218174964189,0.001406601187045453,0.2,0.10791015625,96.41611965335906,8.251659393310547
235520,725.46,-0.43856345999999635,115,324,726,0.0045668217,0.6691532135009766,0.0003,1140,-0.715785651281476,-0.0006942118227016181,0.2,0.06142578125,124.26235357522964,386.814208984375
237568,725.46,-0.28854047999999805,116,327,726,0.008485861,0.6966529190540314,0.0003,1150,-0.7053181290626526,-0.00043253960175206887,0.2,0.0744140625,129.54377711936831,98.45658111572266
239616,712.41,-0.92634759,117,329,727,0.011072161,0.8745735585689545,0.0003,1160,-0.8248223263770342,-0.0055494219326646995,0.2,0.156982421875,32.70649466980249,1.001460313796997
241664,706.44,0.8313360700000005,118,331,728,0.0039744535,0.7109096944332123,0.0003,1170,-0.7576169630512595,-0.0011485917875688756,0.2,0.010986328125,222.01396717727184,91.89273071289062
243712,703.27,-0.6057893499999991,119,334,728,0.0041286442,0.7812500149011612,0.0003,1180,-0.8506771048530937,-0.0014706584977830061,0.2,0.056787109375,84.8269901290536,6.10346794128418
245760,693.98,-4.408044659999998,120,336,730,0.004476501,0.8342844843864441,0.0003,1190,-0.8973303740844131,-0.0005953932690317742,0.2,0.044873046875,68.10049182306975,1.168707013130188
247808,680.42,-5.069411099999997,121,339,730,0.011409179,0.8204064816236496,0.0003,1200,-0.8393272301182151,-0.0025261316375690514,0.2,0.096044921875,113.7033108793199,69.59832763671875
249856,689.83,-6.0457375399999975,122,342,730,0.0029177566,0.8257459253072739,0.0003,1210,-0.8826037181541324,-0.0006654711549344938,0.2,0.01484375,147.01388742774725,25.49557876586914
251904,679.23,-10.439330479999999,123,344,731,0.011614462,0.9260069504380226,0.0003,1220,-0.9546747593209147,-0.002631920271960553,0.2,0.12158203125,35.877739172242585,1.034721851348877
2048,467.5,-201.617294,1,1,1077,0.0050013964,0.8418117463588715,0.0003,1230,-0.936554248072207,-0.0017099370699725114,0.2,0.017578125,103.89095194712282,31.62343978881836
4096,533.0,-220.72886949999997,2,4,826,0.0061738356,0.5206858515739441,0.0003,1240,-0.7263039778918028,-0.0013749929661571515,0.2,0.0259765625,248.97802059352398,25.018442153930664
