rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-8.454393699999995,221184,443,498,684.49,108,0.00583941,0.2,0.0003,-0.8767922591418028,1070,0.710577666759491,0.06689453125,131.776187479496,-0.002932452342793113,14.358448028564453
-4.605733820000002,223232,447,499,680.65,109,0.0019536188,0.2,0.0003,-0.7361115166917443,1080,0.7409405410289764,0.027392578125,90.84501923769713,-0.0016189883433980867,12.433046340942383
-0.7768909200000013,225280,450,500,684.85,110,0.006228841,0.2,0.0003,-0.7742311036214232,1090,0.799751877784729,0.068798828125,75.32769142091274,-0.0031241817414411344,29.113571166992188
2.631887429999998,227328,452,502,681.03,111,0.005767858,0.2,0.0003,-0.6777885334566236,1100,0.8076730519533157,0.037353515625,65.10705971568822,-0.0029157846147427335,14.486379623413086
4.27257553,229376,455,503,680.71,112,0.0061038323,0.2,0.0003,-0.8037095937877894,1110,0.7015523910522461,0.036181640625,70.68784221410752,-0.002858756046043709,10.00011157989502
2.7396795199999997,231424,457,505,662.42,113,0.005722018,0.2,0.0003,-0.7630842469632626,1120,0.75206159055233,0.06064453125,67.1569039463997,-0.0020232508584740573,8.900800704956055
0.7877600999999992,233472,460,506,660.92,114,0.0039541116,0.2,0.0003,-0.7707848055288196,1130,0.4271482229232788,0.036474609375,266.90543301701547,-0.004934221116855042,200.88296508789062
5.148996100000001,235520,463,508,660.46,115,0.005514643,0.2,0.0003,-0.7986269384622574,1140,0.28026050329208374,0.029638671875,172.54214616715907,-0.0017546938484883866,41.86797332763672
5.9102697000000015,237568,466,508,663.11,116,0.00601319,0.2,0.0003,-0.6769700918346644,1150,0.6375744044780731,0.06630859375,148.34242706000805,-0.0036139066869509406,28.946115493774414
11.21285357,239616,469,510,668.19,117,0.0042905714,0.2,0.0003,-0.7304834950715303,1160,0.6780686974525452,0.025439453125,106.45028057694435,-0.0018721079701208509,49.816009521484375
13.24576614,241664,472,511,666.41,118,0.0039783437,0.2,0.0003,-0.6980799177661539,1170,0.5532297492027283,0.017431640625,163.4895217716694,-0.0009147497155936434,75.56258392333984
17.12595662,243712,474,513,661.93,119,0.004461184,0.2,0.0003,-0.693680245615542,1180,0.30981749296188354,0.029443359375,128.24314267039298,-0.0025886220391839743,74.3018798828125
14.03941727,245760,476,515,653.53,120,0.006874716,0.2,0.0003,-0.6423303574323654,1190,0.6318376660346985,0.078271484375,141.68703356981277,-0.0029932819816167466,19.969511032104492
