rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
435.53,250,212992,104,849,46.5169601,0.011467688,0.2,12.703310012817383,130.30122473835945,0.7468266785144806,1030,-0.7650886751711369,0.099951171875,-0.004298767388536362,0.0003
436.98,253,215040,105,849,51.38884704000001,0.0048462437,0.2,112.34566497802734,134.67240263819696,0.6431881785392761,1040,-0.7451175641268492,0.06142578125,-0.0065374018762668126,0.0003
444.02,255,217088,106,850,45.291486430000006,0.023035895,0.2,6.044928550720215,100.77902744412422,0.651588499546051,1050,-0.7034780696034432,0.08701171875,-0.0077073023654520515,0.0003
436.54,257,219136,107,851,45.825085019999996,0.004892527,0.2,43.7655143737793,95.30614835396409,0.6170924603939056,1060,-0.5629547180607914,0.045166015625,-0.0036845385060587433,0.0003
434.02,259,221184,108,852,39.681100879999995,0.004187956,0.2,27.202993392944336,199.82368575930596,0.595851719379425,1070,-0.7316585529595614,0.038037109375,-0.0028664983168710024,0.0003
430.06,261,223232,109,852,37.91261538999999,0.0038731208,0.2,453.5580749511719,235.38679111003876,0.5931326150894165,1080,-0.7722334893420338,0.044970703125,-0.0023230759878060782,0.0003
439.69,263,225280,110,853,39.20201252,0.008014667,0.2,15.505011558532715,86.67771013081074,0.8350510448217392,1090,-0.7637639097869396,0.1240234375,-0.003859221783204703,0.0003
437.09,265,227328,111,854,38.20151844,0.010752166,0.2,13.641989707946777,102.07570541352034,0.7871994525194168,1100,-0.6171414406038821,0.069677734375,-0.003082023343449691,0.0003
434.18,267,229376,112,856,42.92435979,0.0035040276,0.2,214.27133178710938,226.07823040485383,0.6970773935317993,1110,-0.7102917656302452,0.024658203125,-0.0023259647088707423,0.0003
429.76,269,231424,113,857,42.237515569999985,0.0050950833,0.2,18.061420440673828,118.10303040146827,0.7890235185623169,1120,-0.7696610957384109,0.056982421875,-0.0038292251680104527,0.0003
429.39,272,233472,114,856,41.84754381,0.006156465,0.2,321.2621154785156,183.3107474178076,0.7645650804042816,1130,-0.6858905861154199,0.040966796875,-0.002707234351692023,0.0003
430.44,275,235520,115,856,41.738384419999996,0.0046556448,0.2,270.1903381347656,77.95338524580002,0.8536232113838196,1140,-0.7286658383905887,0.0595703125,-0.0036046545130375305,0.0003
421.54,277,237568,116,857,43.9732486,0.0042640157,0.2,11.74893856048584,96.83658911138772,0.8338923156261444,1150,-0.6990632684901357,0.030419921875,-0.0024194793419155757,0.0003
419.55,279,239616,117,858,46.389828720000004,0.0073108263,0.2,117.60932922363281,227.8588209182024,0.5990358591079712,1160,-0.7468870129436255,0.06806640625,-0.00568311023816932,0.0003
424.65,281,241664,118,858,45.28049950000001,0.00491874,0.2,49.16946029663086,160.94742062985898,0.6520827114582062,1170,-0.6741953255608678,0.03369140625,-0.004982373889652081,0.0003
424.25,284,243712,119,857,42.25907391,0.006090481,0.2,55.42026901245117,161.28077444434166,0.7455621361732483,1180,-0.7677028423175216,0.045947265625,-0.0037202595063718035,0.0003
423.34,286,245760,120,858,42.276559520000006,0.010044142,0.2,50.49115753173828,244.2198731303215,0.6431999802589417,1190,-0.6709788145497442,0.05400390625,-0.004495564648095751,0.0003
423.29,288,247808,121,858,38.96369781999999,0.006907924,0.2,6.079164981842041,175.65075880289078,0.751743271946907,1200,-0.8168704640120268,0.07822265625,-0.0031877688008535186,0.0003
428.48,290,249856,122,858,40.046279219999995,0.008965495,0.2,22.631044387817383,123.32573710083962,0.8482751995325089,1210,-0.7859007311984897,0.197900390625,-0.00336665924769477,0.0003
424.81,292,251904,123,860,35.1960261,0.040860318,0.2,23.082015991210938,96.04207017421723,0.361030638217926,1220,-0.7716914478689432,0.1607421875,-0.015995236998423933,0.0003
459.25,1,2048,1,1384,-210.29871275000002,0.0060742693,0.2,19.522232055664062,230.40971653461457,0.6730508804321289,1230,-0.7810403320938348,0.0322265625,-0.0051869877854187505,0.0003
356.1818181818182,3,4096,2,1227,-196.94121454545456,0.01957041,0.2,15.8012056350708,105.43235051631927,0.7890604734420776,1240,-0.7758508244529366,0.141845703125,-0.0076289878183160905,0.0003
345.3529411764706,5,6144,3,1143,-217.4237433529412,0.010347121,0.2,130.60287475585938,246.96333190202714,0.6955017149448395,1250,-0.7476343270391226,0.080419921875,-0.002979682041041087,0.0003
332.6666666666667,7,8192,4,1133,-200.16765370833332,0.0046218988,0.2,477.11041259765625,446.5401297330856,0.5872713923454285,1260,-0.7054915031418204,0.0265625,-0.002806525350752054,0.0003
332.2413793103448,9,10240,5,1098,-195.1139505172414,0.0035351026,0.2,27.608827590942383,173.13864668309688,0.7948760241270065,1270,-0.7756639178842306,0.0150390625,-0.00129803927775356,0.0003
336.9166666666667,11,12288,6,1098,-192.68469294444444,0.002493871,0.2,93.0019302368164,171.58790135383606,0.8601659685373306,1280,-0.5873425671830773,0.02490234375,-0.0024170869881345427,0.0003
344.5609756097561,13,14336,7,1093,-185.5346826829268,0.0077105938,0.2,21.87702178955078,172.16127684116364,0.8692422211170197,1290,-0.643678068369627,0.083154296875,-0.0026116980057850014,0.0003
338.4583333333333,15,16384,8,1089,-181.9312541875,0.008097318,0.2,77.1290512084961,229.38253962993622,0.74648118019104,1300,-0.6951164368540048,0.06279296875,-0.0034710229192569386,0.0003
355.1372549019608,17,18432,9,1059,-186.67186341176466,0.007953998,0.2,95.86174011230469,241.6641836643219,0.8343636691570282,1310,-0.6652216563001275,0.08984375,-0.005821946505602682,0.0003
354.6842105263158,19,20480,10,1055,-190.7333882105263,0.010573797,0.2,48.5704231262207,115.12307414710521,0.766141414642334,1320,-0.7174243280664087,0.089111328125,-0.0102767512180435,0.0003
340.3939393939394,21,22528,11,1061,-184.73666812121212,0.0054951776,0.2,30.0555362701416,301.9572687268257,0.7882129698991776,1330,-0.6861323811113834,0.046533203125,-0.0031384462039568462,0.0003
331.3783783783784,23,24576,12,1068,-181.68916756756758,0.00581696,0.2,36.41438674926758,299.59044751524925,0.7471730709075928,1340,-0.7097058322280645,0.058837890625,-0.0027940047802985646,0.0003
319.27710843373495,24,26624,13,1078,-181.9208091686747,0.0077958307,0.2,68.13986206054688,269.71613026857375,0.7806486636400223,1350,-0.6780166706070304,0.081494140625,-0.0025736733186931815,0.0003
312.2307692307692,26,28672,14,1081,-181.35192942857142,0.004607522,0.2,53.003658294677734,238.01781830787658,0.8159216642379761,1360,-0.6919610150158405,0.043212890625,-0.002956337917566998,0.0003
318.3854166666667,29,30720,15,1054,-185.50643773958336,0.0077892886,0.2,33.97266387939453,225.84615662693977,0.8399913012981415,1370,-0.702852039411664,0.08544921875,-0.007672312956856331,0.0003
311.96,31,32768,16,1053,-180.84433990000005,0.008398682,0.2,47.306983947753906,233.98757543563843,0.7920570969581604,1380,-0.7137533668428659,0.08505859375,-0.004074494646920357,0.0003
305.83,32,34816,17,1059,-176.23003090000003,0.003541511,0.2,70.37309265136719,283.8644563257694,0.740349680185318,1390,-0.6623746452853083,0.02529296875,-0.002255915285786614,0.0003
297.07,34,36864,18,1064,-174.10036638000003,0.005885169,0.2,26.684505462646484,257.17095348238945,0.7581413984298706,1400,-0.6827615844085813,0.085791015625,-0.0070756200948380865,0.0003
294.94,36,38912,19,1056,-174.59502367000002,0.011614363,0.2,120.82310485839844,360.38742288351057,0.6681579053401947,1410,-0.6944814059883356,0.086083984375,-0.003230673792131711,0.0003
