time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
109,223232,330,674,625.94,45.62854985999999,0.038427734375,0.0003,-0.0003138392450637184,1080,-0.626893262937665,54.549461995065215,0.5679046511650085,0.2,0.0041045467,12.623537063598633
110,225280,333,674,620.55,48.99650675,0.153857421875,0.0003,-0.0033893556930706835,1090,-0.876885113120079,85.14837404787541,0.6529328525066376,0.2,0.008360571,16.78238296508789
111,227328,336,675,616.01,46.49142814999999,0.07978515625,0.0003,-0.0022224428896151947,1100,-0.8322992561385035,108.06060878038406,0.7373788356781006,0.2,0.006615754,21.016395568847656
112,229376,339,676,610.46,43.44372198999999,0.0916015625,0.0003,-0.002930609888426261,1110,-0.9268433462828398,97.70208419412374,0.7030414342880249,0.2,0.00861256,3.249854803085327
113,231424,341,677,606.39,44.94441247999999,0.0955078125,0.0003,-0.003632893553003669,1120,-0.8600466085597873,147.5783308401704,0.6000810265541077,0.2,0.010042571,80.10216522216797
114,233472,344,678,607.21,42.180491190000005,0.125048828125,0.0003,-0.0039178619997983334,1130,-0.8334640000015497,60.455428573489186,0.7589254677295685,0.2,0.007709008,2.0852468013763428
115,235520,346,679,612.06,39.18557347,0.0435546875,0.0003,-0.0019321556537761353,1140,-0.7923803962767124,133.475674007833,0.678274542093277,0.2,0.0060039028,94.77177429199219
116,237568,349,680,608.73,42.20009632,0.079931640625,0.0003,-0.0012949652526003774,1150,-0.8194269083440304,117.79057499095798,0.4761849045753479,0.2,0.005356311,129.08038330078125
117,239616,351,681,606.88,36.7950149,0.043212890625,0.0003,-0.0017129066589404828,1160,-0.7663541950285435,88.64281542599201,0.6256766617298126,0.2,0.0039201556,8.86864185333252
118,241664,353,682,604.19,34.34171658,0.1015625,0.0003,-0.002638426669727778,1170,-0.8962222769856453,152.63421271592378,0.5468980371952057,0.2,0.008373125,218.0404510498047
119,243712,356,683,599.67,35.353066760000004,0.035205078125,0.0003,-0.007768175935416366,1180,-0.8251948866993188,161.82270303070544,0.6975936591625214,0.2,0.00809172,32.3089599609375
120,245760,358,684,596.67,38.2650803,0.11650390625,0.0003,-0.008192378296371317,1190,-0.6606188608333469,146.5271829113364,0.7347026467323303,0.2,0.048502475,31.3017520904541
121,247808,361,685,595.19,42.92920618000001,0.0759765625,0.0003,-0.004297910661807691,1200,-0.8376245168969035,189.30687381029128,0.581817239522934,0.2,0.010570147,126.13910675048828
122,249856,363,686,598.19,42.733429940000015,0.046142578125,0.0003,-0.003669733369315509,1210,-0.6551701260730625,105.5556784465909,0.6725435853004456,0.2,0.005002768,12.560991287231445
123,251904,366,688,598.65,37.756567020000006,0.084814453125,0.0003,-0.003012076547565812,1220,-0.7638705875724554,217.29388970434667,0.2519168257713318,0.2,0.008189572,72.32572174072266
1,2048,1,1327,467.0,-368.01462975000004,0.07724609375,0.0003,-0.004062817354861181,1230,-0.6928447240963578,227.11724449396132,0.5350375473499298,0.2,0.012313385,52.81245422363281
2,4096,3,1063,479.5,-335.6914375,0.05927734375,0.0003,-0.003275216632755473,1240,-0.8466912163421512,217.94840254187585,0.6381471157073975,0.2,0.0072757965,62.42263412475586
3,6144,6,1004,487.5833333333333,-337.49875225,0.05400390625,0.0003,-0.0026583134706015697,1250,-0.7904518714174629,197.2801145017147,0.4860185980796814,0.2,0.008386155,148.84396362304688
4,8192,9,897,507.4375,-324.95929918750005,0.088232421875,0.0003,-0.0021868304400413765,1260,-0.7916341485455632,172.63055709004402,0.6961706578731537,0.2,0.009921052,133.90455627441406
