time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
673,845.15,210944,103,313,1.4034073000000005,0.2,1.2630641460418701,0.010837261,0.0003,1020,45.18920664321631,-0.836654264293611,0.131298828125,-0.003051728431455558,0.8527645170688629
673,838.86,212992,104,316,0.7016651300000012,0.2,1.2372410297393799,0.0125527885,0.0003,1030,64.29189104884863,-0.8966438781470061,0.07373046875,-0.0025227460500900634,0.6185987591743469
673,831.27,215040,105,319,-2.090983139999999,0.2,2.0960946083068848,0.0059017614,0.0003,1040,90.60676912441849,-0.7902162408456206,0.05869140625,-0.0025854391053144353,0.7653696089982986
672,833.96,217088,106,322,-0.14345725999999945,0.2,26.843589782714844,0.003565087,0.0003,1050,106.86143504157663,-0.8571983255445957,0.02626953125,-0.0019244677670940292,0.6562281250953674
671,837.64,219136,107,326,-2.1899826899999995,0.2,5.632659435272217,0.005351443,0.0003,1060,37.02860288694501,-0.9021972803398967,0.053466796875,0.00016556755945202896,0.6961919963359833
671,831.89,221184,108,329,0.27546478000000035,0.2,4.0844011306762695,0.00795757,0.0003,1070,70.48752506934106,-0.9207890801131725,0.103564453125,-0.005973946490121307,0.7105993032455444
670,828.21,223232,109,332,-0.23134743999999813,0.2,7.836801052093506,0.0041284333,0.0003,1080,155.31189769506454,-0.6383647649548948,0.026123046875,-0.00024426266936643514,0.7156351506710052
669,824.34,225280,110,336,0.7940043000000004,0.2,29.301429748535156,0.008359671,0.0003,1090,123.91998580470681,-0.7661229094490409,0.080908203125,-0.004437903289363021,0.5789394974708557
666,828.25,227328,111,341,1.7741768900000008,0.2,15.449053764343262,0.0040158164,0.0003,1100,64.17347598988563,-0.8383025474846363,0.06611328125,-0.0004772911990585271,0.716164231300354
664,828.62,229376,112,345,-0.59731589,0.2,1.1500293016433716,0.0077529675,0.0003,1110,34.5704675369896,-0.8239081542938947,0.131689453125,0.0001996484206756577,0.8401888310909271
663,825.47,231424,113,348,-0.05306089999999845,0.2,11.556846618652344,0.0047608432,0.0003,1120,75.20096413530409,-0.8663859900087119,0.029541015625,-0.0010602482161630178,0.8116796761751175
662,828.68,233472,114,352,-0.4755430399999988,0.2,211.20545959472656,0.0025329934,0.0003,1130,73.46152892969549,-0.7582348527386784,0.042919921875,-0.0013577945428551175,0.7109848856925964
662,828.67,235520,115,355,-0.26374125999999876,0.2,0.6027894020080566,0.013728458,0.0003,1140,40.42634840812534,-0.843696148879826,0.119287109375,-0.003565149276982993,0.833119586110115
659,828.67,237568,116,359,-0.8613770199999987,0.2,11.321154594421387,0.007620716,0.0003,1150,58.38737572617829,-0.7811204675585032,0.045556640625,-0.0010266401797707659,0.7414133846759796
659,831.91,239616,117,363,-0.2438875199999987,0.2,0.5696883201599121,0.015155051,0.0003,1160,26.93639417514205,-0.8466284852474928,0.12080078125,-0.005042675042932388,0.8393625617027283
657,835.58,241664,118,367,1.0964930200000012,0.2,3.38702392578125,0.009019315,0.0003,1170,72.99271896481514,-0.8134365497156978,0.070703125,-0.001185214280121727,0.6854665577411652
656,829.37,243712,119,371,1.3967436700000013,0.2,191.55152893066406,0.010025704,0.0003,1180,34.02209672946483,-0.7869826935231685,0.1021484375,-0.004435908076993655,0.8027303218841553
655,830.94,245760,120,374,4.569359380000001,0.2,2.8275225162506104,0.0053795804,0.0003,1190,44.70201497785747,-0.7447619577869773,0.04951171875,-0.0004302203713450581,0.7584907710552216
656,831.92,247808,121,377,4.371257680000001,0.2,2.4869284629821777,0.007660837,0.0003,1200,80.76047541871667,-0.7795886378735304,0.058154296875,-0.0006334893485473003,0.7497029006481171
655,837.0,249856,122,381,6.56070044,0.2,11.191588401794434,0.005646657,0.0003,1210,78.39575410485267,-0.7857674716040493,0.044677734375,-0.0002824477352987742,0.6593701541423798
655,837.0,251904,123,384,5.52906025,0.2,1.360710620880127,0.008889018,0.0003,1220,39.98590297363698,-0.7816706139594316,0.0630859375,-0.003538627899251878,0.8099581003189087
854,768.0,2048,1,2,-468.29184599999996,0.2,1.2069727182388306,0.010462398,0.0003,1230,43.271712875179944,-0.8082978000864387,0.09189453125,-0.004021168826875509,0.8332941085100174
728,884.0,4096,2,5,-457.46239299999996,0.2,33.27048873901367,0.005838374,0.0003,1240,97.47999593093991,-0.7833424529060722,0.036865234375,-0.0005908221566642169,0.44994014501571655
677,861.5,6144,3,9,-459.8162925,0.2,7.246978759765625,0.029750938,0.0003,1250,57.648873352631924,-0.6507499232888222,0.143505859375,-0.00786037014768226,0.6701131761074066
658,863.6666666666666,8192,4,12,-451.62432977777775,0.2,4.613946914672852,0.005709025,0.0003,1260,78.94111850559712,-0.6855414301156998,0.032080078125,-0.0013325200008694083,0.2811915874481201
689,820.8333333333334,10240,5,14,-456.56152374999994,0.2,9.070683479309082,0.0030486288,0.0003,1270,142.7001266747713,-0.6925610227510333,0.01083984375,-0.0008772916880843695,0.5325461328029633
696,800.4666666666667,12288,6,17,-439.9887885333334,0.2,13.170171737670898,0.0044710916,0.0003,1280,102.51552288681269,-0.621972382068634,0.0484375,-0.0034797133070242126,0.6492957770824432
687,787.0555555555555,14336,7,20,-455.9756257222222,0.2,37.585628509521484,0.0069979522,0.0003,1290,182.4998115181923,-0.6575124057009816,0.04404296875,-0.0032189693265536334,0.6569689214229584
697,790.65,16384,8,23,-473.86529085,0.2,7.038942813873291,0.004501597,0.0003,1300,91.55457025766373,-0.7116692991927266,0.041357421875,-0.0023349725972366285,0.820721909403801
690,777.0434782608696,18432,9,26,-468.0722918695652,0.2,41.11943435668945,0.005898122,0.0003,1310,95.51474753916264,-0.7381471792235971,0.05888671875,-0.0028742401787894777,0.8423255383968353
681,767.0769230769231,20480,10,30,-479.72538273076924,0.2,25.12032699584961,0.008064467,0.0003,1320,132.00251850187777,-0.7455753432586789,0.060498046875,-0.0037358280267653756,0.7498245239257812
683,747.6333333333333,22528,11,32,-463.4603608666667,0.2,12.263947486877441,0.0072454535,0.0003,1330,104.56909589469433,-0.7445256115868688,0.0685546875,-0.0036700919998111205,0.8291697949171066
683,737.8787878787879,24576,12,35,-462.84550430303034,0.2,365.5966491699219,0.0018396849,0.0003,1340,223.06591321825982,-0.6674108462408185,0.010888671875,-0.0013371421176998411,0.6323920786380768
684,736.3055555555555,26624,13,38,-462.03767708333334,0.2,252.8879852294922,0.0027056017,0.0003,1350,135.62216199040412,-0.7867854809388518,0.038623046875,-0.001621151655126596,0.7618019282817841
