time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
5,-719.8841371999999,756.4,715,4096,2,0.025146484375,64.23341369628906,0.6007966995239258,140.48824507296086,0.0031628683,-0.0016544598576729186,0.0003,0.2,1240,-0.6293123260140419
8,-736.881097,744.375,683,6144,3,0.043798828125,29.23208999633789,0.911580041050911,46.91786696948111,0.0056370725,-0.0024064328194072005,0.0003,0.2,1250,-0.7314913086593151
12,-667.7879995,673.4166666666666,645,8192,4,0.02919921875,22.212316513061523,0.7585652023553848,81.71545156314968,0.003975591,-0.0010047294097603298,0.0003,0.2,1260,-0.6974836904555559
16,-663.8891027142857,672.7142857142857,633,10240,5,0.084423828125,24.532150268554688,0.5115642845630646,75.91997007131576,0.006010657,0.00016835866626934147,0.0003,0.2,1270,-0.6499015567824244
19,-690.0628171875001,713.625,624,12288,6,0.063427734375,24.035722732543945,0.8558085709810257,32.79840128272772,0.0088588,0.001021313713863492,0.0003,0.2,1280,-0.7189235843718051
23,-723.1315897368421,753.3157894736842,618,14336,7,0.07744140625,2.8336188793182373,0.7803181707859039,24.717943161725998,0.007342214,-0.0004511341845500283,0.0003,0.2,1290,-0.6685697125270963
26,-735.2372553333333,776.8095238095239,622,16384,8,0.05869140625,2.118565320968628,0.788240522146225,28.58617857545614,0.008788705,-0.0011856680277560372,0.0003,0.2,1300,-0.732266490533948
29,-748.4662783913044,796.2173913043479,617,18432,9,0.077685546875,2.952853202819824,0.8657592982053757,15.344635191559792,0.007149635,-0.0021829865509062074,0.0003,0.2,1310,-0.7169915216043592
32,-760.6475815199999,812.52,629,20480,10,0.0732421875,1.693611741065979,0.7786331176757812,17.67500706091523,0.0079717655,0.0009361778989841696,0.0003,0.2,1320,-0.7095772067084909
35,-764.760329037037,816.2592592592592,629,22528,11,0.055712890625,1.8539111614227295,0.7475638091564178,20.147255758196117,0.0073844376,0.00045373324683168904,0.0003,0.2,1330,-0.6700014708563685
38,-766.7953449333334,813.7666666666667,637,24576,12,0.063720703125,5.862499237060547,0.6819388270378113,19.44607854411006,0.0060344767,-0.0008555998072552029,0.0003,0.2,1340,-0.7214846523478627
